[2012/12/20 - 16:25:6] AdmCmd: AT Madara was fined $100 by David Smith, reason: UnRP Driving
[2012/12/20 - 16:40:27] AdmCmd: Young Bi was fined $100 by David Smith, reason: Stop DM
[2012/12/20 - 16:40:29] AdmCmd: Young Bi was fined $100 by David Smith, reason: Stop DM
[2013/1/10 - 15:26:26] AdmCmd: Dragon Knight jailed by Sa lem, reason: a
[2013/1/10 - 15:26:32] AdmCmd: Dragon Knight has been released tu nha tu by Sa lem, reason: ra
[2013/1/10 - 16:1:21] AdmCmd: Sa lem was fined $100 by David Smith, reason: Cop bailing
[2013/1/10 - 16:48:10] AdmCmd: Claude Speed was fined $100 by David Smith, reason: abuse /dept
[2013/1/10 - 17:17:28] AdmCmd: Kaito Kun da bi vao tu` boi? David Smith, reason: DM
[2013/1/10 - 17:27:39] AdmCmd: David Smith has been released tu nha tu by David Smith, reason: time served
[2013/1/10 - 17:59:31] AdmCmd: William Gay da bi vao tu` boi? David Smith, reason: DM
[2013/1/10 - 18:0:12] AdmCmd: William Gay has been released tu nha tu by David Smith, reason: time served
[2013/1/10 - 19:50:29] AdmCmd: DanhBong MatDuong da bi vao tu` boi? Sa lem, reason: 31
[2013/1/10 - 19:50:42] AdmCmd: DanhBong MatDuong has been released tu nha tu by David Smith, reason: time served
[2013/1/10 - 20:7:18] AdmCmd: Roberto Carlos was fined $1000 by Sa lem, reason: DM
[2013/1/12 - 18:9:5] AdmCmd: San And was fined $100 by David Smith, reason: UNRP driving
[2013/1/12 - 18:14:51] AdmCmd: terry skinnkoz has been released tu nha tu by David Smith, reason: time served
[2013/1/12 - 18:15:49] AdmCmd: David Jonny was muted from speaking in /newb by David Smith.
[2013/1/12 - 18:19:17] AdmCmd: William Gay was fined $100 by David Smith, reason: meta gaming
[2013/1/12 - 18:20:36] AdmCmd: What Up was fined $100 by David Smith, reason: UNRP Driving
[2013/1/12 - 18:23:33] AdmCmd: Cristiano Ronaldo da bi vao tu` boi? David Smith, reason: DM
[2013/1/12 - 18:24:18] AdmCmd: Cristiano Ronaldo has been released tu nha tu by David Smith, reason: time served
[2013/1/12 - 18:45:57] AdmCmd: San And has been released tu nha tu by David Smith, reason: time served
[2013/1/12 - 18:47:21] AdmCmd: The Time was muted from speaking in /newb by David Smith.
[2013/1/12 - 18:47:42] AdmCmd: San And was fined $100 by David Smith, reason: spam /o
[2013/1/12 - 19:48:53] AdmCmd: LoThi Visong was fined $100 by David Smith, reason: car raming
[2013/1/12 - 19:51:53] AdmCmd: Lo Lem was fined $100 by David Smith, reason: spam /o
[2013/1/12 - 19:52:10] AdmCmd: Lo Lem has been released tu nha tu by David Smith, reason: time served
[2013/1/12 - 19:56:31] AdmCmd: Lo Lem has been released tu nha tu by David Smith, reason: time served
[2013/1/12 - 19:58:56] AdmCmd: Shanks Kien was fined $100 by David Smith, reason: Ninja jacking
[2013/1/12 - 19:59:27] AdmCmd: Shanks Kien was fined $1000 by David Smith, reason: Ninja Jacking
[2013/1/12 - 20:9:50] AdmCmd: William Gay was fined $1000 by David Smith, reason: abuse /o
[2013/1/12 - 20:12:51] AdmCmd: Lo Lem was fined $100 by David Smith, reason: Meta gaming
[2013/1/12 - 20:17:2] AdmCmd: Jonny IPain was fined $200 by Sa lem, reason: bunny hop
[2013/1/12 - 20:21:3] AdmCmd: LoThi Visong was fined $100 by Sa lem, reason: ko duoc vung tuc tren OOC
[2013/1/12 - 20:26:2] AdmCmd: Bitua Voz has been released tu nha tu by Sa lem, reason: Timer Server
[2013/1/12 - 20:31:35] AdmCmd: Tony Ryders was fined $100 by David Smith, reason: learn to Fucking LAFD
[2013/1/12 - 20:34:44] AdmCmd: William Gay was fined $10000 by David Smith, reason: meta gaming
[2013/1/12 - 20:38:26] AdmCmd: Rick Tran has been released tu nha tu by David Smith, reason: time served
[2013/1/12 - 20:38:50] AdmCmd: Romano Unique da bi vao tu` boi? David Smith, reason: car raming
[2013/1/12 - 20:39:5] AdmCmd: Romano Unique has been released tu nha tu by David Smith, reason: time served
[2013/1/12 - 20:39:52] AdmCmd: Crazy Knight da bi vao tu` boi? David Smith, reason: bunny hoping
[2013/1/12 - 20:44:45] AdmCmd: terry skinnkoz has been released tu nha tu by Sa lem, reason: time Server
[2013/1/12 - 21:4:57] AdmCmd: terry skinnkoz was fined $2000 by Sa lem, reason: ho bao
[2013/1/12 - 21:5:6] AdmCmd: terry skinnkoz da bi vao tu` boi? Sa lem, reason: ho bao
[2013/1/12 - 21:5:24] AdmCmd: terry skinnkoz has been released tu nha tu by Sa lem, reason: time serverd
[2013/1/12 - 21:12:41] AdmCmd: terry skinnkoz has been released tu nha tu by Sa lem, reason: time serverd
[2013/1/12 - 21:20:1] AdmCmd: Bitua voz has been released tu nha tu by Rick Tran, reason: u can go
[2013/1/12 - 21:36:12] AdmCmd: bitua voz has been released tu nha tu by Rick Tran, reason: ooo
[2013/1/13 - 2:9:13] AdmCmd: Jack Weskers has been silent prisoned by Rick Tran, reason: o.o
[2013/1/13 - 2:11:1] AdmCmd: Jack Weskers has been released tu nha tu by Rick Tran, reason: freedom
[2013/1/13 - 2:13:7] AdmCmd: Jack Weskers has been silent prisoned by Rick Tran, reason: RP !
[2013/1/13 - 2:13:57] AdmCmd: Jack Weskers has been released tu nha tu by Rick Tran, reason: freedom
[2013/1/13 - 9:8:42] Sa lem has set faction 1's pay for rank 1 to 20000.
[2013/1/13 - 9:8:44] Sa lem has set faction 1's pay for rank 2 to 20000.
[2013/1/13 - 9:8:46] Sa lem has set faction 1's pay for rank 3 to 20000.
[2013/1/13 - 9:8:49] Sa lem has set faction 1's pay for rank 4 to 20000.
[2013/1/13 - 9:8:51] Sa lem has set faction 1's pay for rank 5 to 20000.
[2013/1/13 - 9:8:53] Sa lem has set faction 1's pay for rank 6 to 20000.
[2013/1/13 - 9:8:58] Sa lem has set faction 1's pay for rank 2 to 40000.
[2013/1/13 - 9:9:2] Sa lem has set faction 1's pay for rank 3 to 60000.
[2013/1/13 - 9:9:7] Sa lem has set faction 1's pay for rank 4 to 65000.
[2013/1/13 - 9:9:13] Sa lem has set faction 1's pay for rank 5 to 80000.
[2013/1/13 - 9:9:17] Sa lem has set faction 1's pay for rank 6 to 100000.
[2013/1/13 - 9:49:31] AdmCmd: Phong Tom was fined $100 by David Smith, reason: ko de xe giua duong
[2013/1/13 - 9:52:44] AdmCmd: Tony Ryders was fined $100 by David Smith, reason: UNRP Siren
[2013/1/13 - 9:56:6] AdmCmd: Tony Ryders was fined $1000 by David Smith, reason: Mother fucking LAFD. ko duoc lay xe di tuan` :@
[2013/1/13 - 10:4:32] AdmCmd: Yuki Sora has been released tu nha tu by Sa lem, reason: time served
[2013/1/13 - 10:20:12] AdmCmd: Mr Chuot da bi vao tu` boi? David Smith, reason: Dead match
[2013/1/13 - 10:20:23] AdmCmd: Mr Chuot was fined $1000 by Sa lem, reason: DM - Time Served
[2013/1/13 - 10:20:27] AdmCmd: Mr Chuot has been released tu nha tu by David Smith, reason: time served
[2013/1/13 - 10:20:33] AdmCmd: Mr Chuot has been released tu nha tu by Sa lem, reason: Time Served
[2013/1/13 - 10:22:43] AdmCmd: Lo Lem was fined $100 by David Smith, reason: ko su dung job sua xe. 
[2013/1/13 - 10:25:9] AdmCmd: Phong Tom was fined $100 by David Smith, reason: UNRP Driving
[2013/1/13 - 10:25:34] AdmCmd: Mr Chuot was fined $1000 by Sa lem, reason: Ban' Newbie
[2013/1/13 - 10:26:33] AdmCmd: Lo Lem da bi vao tu` boi? David Smith, reason: tao keu ko su dung nitro
[2013/1/13 - 10:26:44] AdmCmd: Lo Lem has been released tu nha tu by David Smith, reason: time served
